
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.126:53067    142.250.198.42:443     ESTABLISHED     22000
  TCP    192.168.0.126:53069    142.250.71.161:443     TIME_WAIT       0
  TCP    192.168.0.126:53072    142.250.71.170:443     ESTABLISHED     19556
  TCP    192.168.0.126:53642    185.199.111.154:443    ESTABLISHED     2664
  TCP    192.168.0.126:53650    216.239.32.223:443     ESTABLISHED     19556
  TCP    192.168.0.126:53655    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:53656    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53657    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53660    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53661    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53662    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53663    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:53668    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53670    49.213.95.137:443      TIME_WAIT       0
  TCP    192.168.0.126:53671    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53672    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53673    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53674    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53675    13.107.137.11:443      ESTABLISHED     10624
  TCP    192.168.0.126:53680    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:53819    184.26.91.46:443       ESTABLISHED     2664
  TCP    192.168.0.126:53825    142.250.198.42:443     ESTABLISHED     7812
  TCP    192.168.0.126:53826    142.250.197.106:443    ESTABLISHED     7812
  TCP    192.168.0.126:53828    142.250.197.106:443    ESTABLISHED     7812
  TCP    192.168.0.126:53838    216.239.32.223:443     ESTABLISHED     19556
  TCP    192.168.0.126:53841    216.239.32.223:443     ESTABLISHED     19556
  TCP    192.168.0.126:53842    20.135.6.7:443         TIME_WAIT       0
  TCP    192.168.0.126:53903    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:54000    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:54759    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:54964    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:55310    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:55311    42.1.81.87:443         TIME_WAIT       0
  TCP    192.168.0.126:55312    58.187.8.39:443        ESTABLISHED     5656
  TCP    192.168.0.126:55401    210.245.26.97:8688     ESTABLISHED     2664
  TCP    192.168.0.126:56712    142.251.8.188:443      ESTABLISHED     2664
  TCP    192.168.0.126:57260    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:57445    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:57528    49.213.95.36:443       ESTABLISHED     5656
  TCP    192.168.0.126:57776    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:57777    216.239.36.223:443     TIME_WAIT       0
  TCP    192.168.0.126:57778    142.250.198.42:443     TIME_WAIT       0
  TCP    192.168.0.126:57779    142.250.198.42:443     TIME_WAIT       0
  TCP    192.168.0.126:57780    142.250.198.42:443     TIME_WAIT       0
  TCP    192.168.0.126:57782    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:57784    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:57785    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:57786    49.213.95.132:443      ESTABLISHED     5656
  TCP    192.168.0.126:57787    14.238.122.112:443     ESTABLISHED     5656
  TCP    192.168.0.126:57788    42.1.81.87:443         ESTABLISHED     5656
  TCP    192.168.0.126:57789    103.162.92.194:443     ESTABLISHED     5656
  TCP    192.168.0.126:57790    42.1.81.88:443         ESTABLISHED     5656
  TCP    192.168.0.126:57791    49.213.95.137:443      ESTABLISHED     5656
  TCP    192.168.0.126:57792    42.1.81.77:443         ESTABLISHED     5656
  TCP    192.168.0.126:57793    49.213.95.122:443      ESTABLISHED     5656
  TCP    192.168.0.126:57874    4.213.25.242:443       ESTABLISHED     10624
  TCP    192.168.0.126:58000    216.239.38.223:443     ESTABLISHED     7812
  TCP    192.168.0.126:58244    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:58589    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:58830    31.13.82.51:443        TIME_WAIT       0
  TCP    192.168.0.126:59046    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:59428    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:59429    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:59430    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:59432    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:59433    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:59687    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:60535    31.13.82.51:443        TIME_WAIT       0
  TCP    192.168.0.126:60909    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:60961    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:61200    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:61515    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:61536    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:61540    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:61541    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:61822    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:61910    216.239.32.223:443     ESTABLISHED     22000
  TCP    192.168.0.126:62990    35.209.92.19:443       ESTABLISHED     2664
  TCP    192.168.0.126:62991    57.150.85.1:443        TIME_WAIT       0
  TCP    192.168.0.126:63094    142.250.199.202:443    CLOSE_WAIT      19556
  TCP    192.168.0.126:63095    142.250.199.202:443    ESTABLISHED     19556
  TCP    192.168.0.126:63163    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:63233    20.189.173.10:443      TIME_WAIT       0
  TCP    192.168.0.126:63853    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:63889    40.79.141.154:443      ESTABLISHED     21924
  TCP    192.168.0.126:64206    142.250.197.138:443    CLOSE_WAIT      19556
  TCP    192.168.0.126:64776    23.202.34.248:443      ESTABLISHED     2664
  TCP    192.168.0.126:65166    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:65416    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.126.1:139      0.0.0.0:0              LISTENING       4
